device_id,device_type,device_created_at,device_os,fingerprint_hash
DEV_000030,DESKTOP_WINDOWS,2025-09-03T11:17:09,Windows 11,FP_26b4df9f81bb6f8b
DEV_000031,MOBILE_IOS,2025-05-23T03:48:56,iOS 17.4,FP_bce4ac249979ac51
DEV_000032,DESKTOP_MAC,2025-09-13T15:49:34,macOS Sonoma,FP_e4324d579d0462c3
DEV_000033,DESKTOP_WINDOWS,2025-12-19T14:39:23,Windows 11,FP_d9347551c7b54a32
DEV_000034,MOBILE_IOS,2025-09-20T05:27:37,iOS 17.4,FP_27486571df6c5c88
DEV_000035,MOBILE_ANDROID,2025-07-11T09:10:59,Android 14,FP_1130818094f326b6
DEV_000036,MOBILE_IOS,2025-07-03T00:38:26,iOS 17.4,FP_bb797496e98bd140
DEV_000037,MOBILE_IOS,2025-07-08T09:33:45,iOS 17.4,FP_64ee82a4f482ab69
DEV_000038,MOBILE_ANDROID,2025-05-07T14:56:23,Android 13,FP_437b207e9dad2ba0
DEV_000039,MOBILE_ANDROID,2025-05-18T14:36:59,Android 13,FP_269d222ec7bc8504
DEV_000040,MOBILE_ANDROID,2025-12-19T22:46:39,Android 14,FP_b899553b5f5f1ffe
DEV_000041,MOBILE_IOS,2025-09-28T19:30:53,iOS 17.4,FP_57348834eb0cbb20
DEV_000042,MOBILE_IOS,2026-01-15T18:22:03,iOS 17.4,FP_cba6bca89af8f13f
DEV_000043,DESKTOP_WINDOWS,2026-01-23T23:56:03,Windows 11,FP_c78b13a7cffa3f79
DEV_000044,MOBILE_IOS,2025-06-08T02:06:58,iOS 17.4,FP_734bf23c976420f6
DEV_000045,MOBILE_IOS,2026-01-05T04:25:22,iOS 16.6,FP_a65cf458bf48cee9
DEV_000046,MOBILE_ANDROID,2025-02-05T13:26:16,Android 14,FP_989e7fe7a29a495c
DEV_000047,MOBILE_IOS,2025-02-12T10:12:05,iOS 16.6,FP_fecc8beb9334051c
DEV_000048,MOBILE_IOS,2025-08-31T23:22:47,iOS 16.6,FP_6589b1ddd9b02013
DEV_000049,MOBILE_ANDROID,2025-06-29T10:46:34,Android 13,FP_9c2d0d812cea8908
DEV_000050,MOBILE_IOS,2025-04-27T10:13:58,iOS 17.4,FP_324640d0b4d6ba64
DEV_000051,MOBILE_IOS,2025-03-01T00:01:57,iOS 16.6,FP_eb26a1de76c9a6d0
DEV_000052,MOBILE_IOS,2025-05-15T16:27:47,iOS 16.6,FP_33bcb729215b4def
DEV_000053,MOBILE_ANDROID,2025-02-15T19:41:20,Android 14,FP_86fb02b256b968d1
DEV_000054,MOBILE_ANDROID,2025-06-06T07:20:08,Android 14,FP_3e526047e418567a
DEV_000055,MOBILE_ANDROID,2025-11-10T21:42:50,Android 13,FP_2fa54f60e88cb458
DEV_000056,MOBILE_IOS,2025-06-24T17:14:26,iOS 16.6,FP_639d6c7bc8ed47d7
DEV_000057,MOBILE_ANDROID,2025-03-20T02:01:53,Android 13,FP_3104055d5ac1864a
DEV_000058,MOBILE_ANDROID,2025-06-01T07:46:07,Android 14,FP_5703a17adfaa9146
DEV_000059,MOBILE_ANDROID,2025-04-22T05:13:29,Android 14,FP_c9b782a969f479f4
DEV_000060,DESKTOP_MAC,2025-08-04T04:59:37,macOS Sonoma,FP_09d740aca7e70b3c
