ip_id,ip_address,ip_type,asn_org,country
IP_000116,106.202.118.204,RESIDENTIAL,Airtel Broadband,IN
IP_000117,157.203.119.205,RESIDENTIAL,JioFiber Commercial,IN
IP_000118,49.204.120.206,CELLULAR,Jio 5G Mobile,IN
IP_000119,157.205.121.207,CELLULAR,Vodafone Idea Mobile,IN
IP_000120,103.206.122.208,RESIDENTIAL,Airtel Broadband,IN
IP_000121,49.207.123.209,DATACENTER,Amazon AWS Datacenter,IN
IP_000122,157.208.124.210,RESIDENTIAL,JioFiber Commercial,IN
IP_000123,103.209.125.211,RESIDENTIAL,ACT Fibernet,IN
IP_000124,49.210.126.212,RESIDENTIAL,Airtel Broadband,IN
IP_000125,49.211.127.213,CELLULAR,Vodafone Idea Mobile,IN
IP_000126,117.212.128.214,RESIDENTIAL,JioFiber Commercial,IN
IP_000127,117.213.129.215,CELLULAR,Vodafone Idea Mobile,IN
IP_000128,157.214.130.216,RESIDENTIAL,Airtel Broadband,IN
IP_000129,182.215.131.217,RESIDENTIAL,Tata Play Fiber,IN
IP_000130,103.216.132.218,CELLULAR,Jio 5G Mobile,IN
IP_000131,117.217.133.219,CELLULAR,Airtel 4G/5G,IN
IP_000132,128.218.134.220,VPN_PROXY,Nord Security Relays,SG
IP_000133,157.219.135.221,RESIDENTIAL,ACT Fibernet,IN
IP_000134,49.220.136.222,RESIDENTIAL,Tata Play Fiber,IN
IP_000135,128.221.137.223,VPN_PROXY,Cloudflare WARP Anycast,US
IP_000136,103.222.138.224,CELLULAR,Airtel 4G/5G,IN
IP_000137,103.223.139.225,CELLULAR,Airtel 4G/5G,IN
IP_000138,117.224.140.226,RESIDENTIAL,Tata Play Fiber,IN
IP_000139,182.225.141.227,RESIDENTIAL,JioFiber Commercial,IN
IP_000140,103.226.142.228,RESIDENTIAL,JioFiber Commercial,IN
IP_000141,49.227.143.229,RESIDENTIAL,Tata Play Fiber,IN
IP_000142,117.228.144.230,RESIDENTIAL,Tata Play Fiber,IN
IP_000143,182.229.145.231,RESIDENTIAL,Airtel Broadband,IN
IP_000144,49.230.146.232,RESIDENTIAL,Airtel Broadband,IN
IP_000145,157.231.147.233,RESIDENTIAL,Tata Play Fiber,IN
IP_000146,103.232.148.234,RESIDENTIAL,JioFiber Commercial,IN
IP_000147,128.233.149.235,VPN_PROXY,Nord Security Relays,SG
IP_000148,49.234.150.236,RESIDENTIAL,JioFiber Commercial,IN
IP_000149,117.235.151.237,RESIDENTIAL,JioFiber Commercial,IN
IP_000150,128.236.152.238,DATACENTER,DigitalOcean Droplets,SG
